Question,Answer
School,UNOPAR - Universidade Norte do Paraná
Company,X Prop
Your title,PHP Web Developer
Dates of employment,2009-02-01 - 2010-12-01
State / Province,GO
Company,Jaepel Papéis e Embalagens S/A
Description,"As a Senior Programmer and Team Manager, I have developed a client management and financial operations platform for stocks and stock markets from scratch, completely eliminating the manual process based on spreadsheets. This allowed the team to have more time to focus on results. Additionally, I took charge of gathering requirements and implementing new technologies to enhance the platform's efficiency."
Major / Field of study,Information Technology
ZIP / Postal Code,74474016
City,"Goiânia, Goiás, Brazil"
State,Goiás
Dates of employment,2021-09-01 - 2022-12-01
Dates of employment,2019-12-01 - 2023-02-01
Dates of employment,2011-01-01 - 2014-11-01
Dates of employment,2015-09-01 - 2017-01-01
Description,"I developed a web application responsible for equipment maintenance and production, and integrated this application with your Business ERP."
Description,"I worked at Microlins, where I taught students various topics ranging from basic computer skills such as Microsoft Office, internet usage, and computer fundamentals, to programming using web languages like PHP and JavaScript."
Your title,Shopify e Shopify Plus Engineer
Company,Microlins
Cover letter,"As an experienced Shopify designer & developer, this job fits my main skill. FYI, I have worked with great shopify & front-end dev companies such as Uber, Xprop S.A and Libert Solutions for 8+ years and got rich experience in building complex shopify themes, installing apps, integrating third-party features and advanced functionalities. I can provide you high-quality liquid, HTML5, SCSS, CSS3, Javascript, Bootstrap, Jquery, AJAX and UI/UX improvements. If you provide me XD or Figma design with perfect assets, I will deliver you pixel-perfect results with my high skill on time.  My strong shopify  skills: -Strong knowledge of liquid programming language. -Clear concept of HTML5, CSS3, javascript/Jquery. -Strong hands to Install & Customize new theme for Shopify & Shopify plus. -Work with Shopify API for data management -Build and install apps for the advanced functionalities. -SEO & Audit& optimization. -Migrate sites from other CMS to Shopify. -Verbal communication. -GitHub, Slack, Asana, Trello, Monday : for the DEV environment. -Strong experience in Gulp, slate, themekit for theme development.   Please review these shopify stores which I had made before from XD/Figma/Invision designs. Figma link https://www.figma.com/file/woJXkW1VDfVH3HRuzYwbLR/Highland-Chocolatierall?node-id=0%3A1 https://iain-burnett-uat.myshopify.com XD To Shopify : https://drive.google.com/file/d/14nVkHKvs5dNiDgqAtoe-fSxy1Le9LgPL/view Website : https://oliviaandpearl.com https://www.maxbone.com https://fairytabs.com https://www.vanpom.nl http://sparkleinpink.com https://www.stopcreak.com Please keep in touch with me. I will work on your time zone and deliver you good results and verbal communications. Best regard."
Description,I worked on maintaining and improving the company's website.
Your title,Shopify and PHP Web Developer
Description,"In my current role, I work with implementation, customization, and support for e-commerce platforms such as Shopify and WordPress. Specifically, with Shopify, I focus on theme customization, creating new page templates, and developing new sections. I also handle integrations between Shopify and other systems using the Shopify API and Node.js.  One of my main responsibilities is to improve Conversion Rate Optimization (CRO) step by step. Here are some strategies I implement to achieve this:  👉 Main Product Content and PDP update 👉 Product personalization with variants 👉 Upsell and Cross-sell feature 👉 Optimizing checkout process 👉 Guest checkout process 👉 Trust product badge mark 👉 Adjusted and optimized Product media (mobile/desktop version) 👉 User-friendly FAQ  In addition to these tasks, I possess a range of skills that contribute to my role:  ✅ Shopify CRO with A/B testing ✅ Shopify theme customization & development ✅ Shopify SEO & Page speed-up ✅ Shopify Landing Page design ✅ Shopify API handling and third-party integration ✅ Shopify online store mobile app building (iOS/Android) ✅ Pixel-perfect frontend development with XD/Figma/Invision design ✅ Shopify custom app development with Node, PHP, and Python.  These skills enable me to effectively enhance Shopify-based e-commerce platforms, providing optimal user experiences and driving improved conversions."
Dates attended,2017-01-01 - 2020-12-01
Your title,Web Developer
Description,"I worked as a programmer and led a multidisciplinary team of 5 to 10 developers and UX/Designers, with the primary goal of implementing innovative solutions for the company in its line of business. My daily activities included coding, creating and customizing themes based on Figma, integrating with applications, reviewing code from colleagues, and enhancing the team, always guided by Scrum and aiming to add value to stakeholders."
Company,PEMA Táxi Aéreo
Company,Tribodev
Description,"I worked at CEDASP, teaching its students programming from the ground up using web languages such as PHP and JS. I was the instructor with the highest student approval rate throughout my entire tenure there."
Dates of employment,2013-01-01 - 2014-11-01
Description,"I developed a system responsible for recording and managing the maintenance of the company's aircraft. Additionally, I built and maintained the company's website."
Your title, Shopify e Shopify Plus Engineer
Company,Merchadise
Dates of employment,2015-01-01 - 2015-09-01
Degree,Bachelor's degree
Your title,Web Designer
Company,LAS
Dates of employment,2023-02-01 - 
First name,Bruno
Dates of employment,2019-01-01 - 2021-07-01
Please submit a resume or LinkedIn profile,660775495.pdf
Photo, -1074262900.jpg
Your title,Software Programming Instructor
Street address line 1,"Rua SC 13 Qd 29 Lt 21 SETOR JARDIM COLORADO, Goiania - GO"
Dates of employment,2017-01-01 - 2019-01-01
Country,Brazil
Company,Lopac
Last name,Santana
Description,I developed a web application for sales and production management and integrated it with the business ERP system to optimize operations management.
Mobile phone number, +55 62982942080
Description,"I served as the support and development lead for the company's website, including eCommerce projects built with Shopify. I led and worked with the team to develop a distance learning application (EAD) for employees, resulting in a reduction in the onboarding time for new hires and the availability of individual and group training sessions.  Key Responsibilities: - Designing and developing RESTful APIs using PHP Laravel - Developing websites and Shopify eCommerce solutions - Managing the entire software development process from conception to deployment - Modifying and testing changes in previously developed programs."
Company,INDEPENDENCIA S/A
Your title,Engineer Fullstack Senior
Company,Cedaspy
