Company Name,Title,Description,Location,Started On,Finished On
XPROP Investimentos,Engineer Fullstack,"As a Programmer and Team Manager, I have developed a client management and financial operations platform for stocks and stock markets from scratch, completely eliminating the manual process based on spreadsheets. This allowed the team to have more time to focus on results. Additionally, I took charge of gathering requirements and implementing new technologies to enhance the platform's efficiency.",Brazil,Jan 2024,
Tribodev, Pleno Shopify Engineer,"In my previous role, I worked on the implementation, customization, and support of e-commerce platforms such as Shopify and WordPress. Specifically, with Shopify, I focused on theme customization, creating new page templates, and developing new sections. I also handled integrations between Shopify and other systems using the Shopify API and Node.js.    One of my main responsibilities was improving Conversion Rate Optimization (CRO) step by step. Here are some strategies I implemented to achieve this:    👉 Main product content and PDP updates   👉 Product personalization with variants   👉 Upsell and cross-sell features   👉 Optimizing the checkout process   👉 Guest checkout process   👉 Trust product badge mark   👉 Adjusted and optimized product media (mobile/desktop version)   👉 User-friendly FAQ    In addition to these tasks, I had a range of skills that contributed to my role:    ✅ Shopify CRO with A/B testing   ✅ Shopify theme customization & development   ✅ Shopify SEO & page speed optimization   ✅ Shopify landing page design   ✅ Shopify API handling and third-party integration   ✅ Shopify online store mobile app development (iOS/Android)   ✅ Pixel-perfect frontend development with XD/Figma design   ✅ Shopify custom app development with Node and PHP    These skills enabled me to effectively enhance Shopify-based e-commerce platforms, providing optimal user experiences and driving improved conversions.","Goiânia, Goiás, Brazil",Jan 2023,Dec 2023
Merchadise,Junior Shopify Engineer,"I worked as a programmer and led a multidisciplinary team of 5 to 10 developers and UX/Designers, with the primary goal of implementing innovative solutions for the company in its line of business. My daily activities included coding, creating and customizing themes based on Figma, integrating with applications, reviewing code from colleagues, and enhancing the team, always guided by Scrum and aiming to add value to stakeholders.","Oregon, United States",Sep 2021,Dec 2022
LAS,PHP Web Developer,"I served as the support and development lead for the company's website, including eCommerce projects built with Wordpress. I led and worked with the team to develop a distance learning application (EAD) for employees, resulting in a reduction in the onboarding time for new hires and the availability of individual and group training sessions.  Key Responsibilities: - Designing and developing RESTful APIs using PHP Laravel - Developing websites and Woocommerce solutions - Managing the entire software development process from conception to deployment - Modifying and testing changes in previously developed programs.","Goiás, Brazil",Jan 2019,Jul 2021
Lopac,Web Developer,"I developed a web application responsible for equipment maintenance and production, and integrated this application with your Business ERP.","Hidrolândia, Goiás, Brazil",Jan 2017,Jan 2019
Jaepel Papéis e Embalagens S/A,PHP Web Developer,I developed a web application for sales and production management and integrated it with the business ERP system to optimize operations management.,"Senador Canedo, Goiás, Brazil",Sep 2015,Jan 2017
Cedaspy,Software Programming Instructor,"I worked at CEDASP, teaching its students programming from the ground up using web languages such as PHP and JS. I was the instructor with the highest student approval rate throughout my entire tenure there.","Goiânia, Goiás, Brazil",Jan 2015,Sep 2015
Microlins,Software Programming Instructor,"I worked at Microlins, where I taught students various topics ranging from basic computer skills such as Microsoft Office, internet usage, and computer fundamentals, to programming using web languages like PHP and JavaScript.","Pará, Brazil",Jan 2013,Nov 2014
PEMA Táxi Aéreo,PHP Web Developer,"I developed a system responsible for recording and managing the maintenance of the company's aircraft. Additionally, I built and maintained the company's website.","Pará, Brazil",Jan 2011,Nov 2014
INDEPENDENCIA S/A,Web Designer,I worked on maintaining and improving the company's website.,"Mato Grosso, Brazil",Feb 2009,Dec 2010
Olha Ki Tem,Web Designer,"I worked at this company as a developer of the website and ad system, handling site maintenance and providing customer support.","Goiânia, Goiás, Brazil",Jan 2007,Sep 2008
Info Barros,Computer Technology Instructor,"This was my first opportunity in the field where I worked as a basic computer technology instructor, and it was where I began learning how to program.","Trindade, Goiás, Brazil",Jun 2005,Dec 2006
